nohup: ignoring input
BEFORE 3
pillbug 0.11588785046728972
0 false
1 false
2 false
3 false
4 false
pilot whale 0.11775700934579439
0 true
1 false
2 false
3 false
4 false
piranha 0.11962616822429907
0 false
1 false
2 false.
3 false
4 false
plaice 0.12149532710280374
0 false
1 false
2 false
3 false.
4 false.
platypus 0.1233644859813084
0 true
1 false
2 false.
3 false
4 false
polar bear 0.1252336448598131
0 true
1 false
2 false
3 false
4 false
polarbear 0.12710280373831775
0 true
1 false
2 false
3 false
4 false
pony 0.12897196261682242
0 true
1 false
2 false
3 false
4 false
poodle 0.1308411214953271
0 true
1 false
2 false
3 false
4 false
porcupine 0.13271028037383178
0 true
1 false
2 false
3 false
4 false
porpoise 0.13457943925233645
0 true
1 false
2 false
3 false
4 false.
possum 0.13644859813084112
0 true
1 false
2 false
3 false
4 false
potbellied pig 0.1383177570093458
0 true
1 false
2 false
3 false
4 false
potbelliedpig 0.14018691588785046
0 true
1 false
2 false
3 false
4 false
prairie dog 0.14205607476635515
0 true
1 false
2 false
3 false
4 false
prairiedog 0.14392523364485982
0 true
1 false
2 false
3 false
4 false
prawn 0.14579439252336449
0 false
1 false
2 false.
3 false
4 false.
prayingmantis 0.14766355140186915
0 false
1 false
2 true
3 false
4 false
proboscis monkey 0.14953271028037382
0 true
1 false
2 false
3 false
4 false
puffin 0.15140186915887852
0 false
1 true
2 false
3 false
4 false
puggle 0.15327102803738318
0 true
1 false
2 false
3 false
4 false
puma 0.15514018691588785
0 true
1 false
2 false
3 false
4 false
puppy 0.15700934579439252
0 true
1 false
2 false
3 false
4 false
python 0.1588785046728972
0 false
1 false
2 false
3 true
4 true
quail 0.16074766355140188
0 false
1 true
2 false
3 false
4 false
quokka 0.16261682242990655
0 true
1 false
2 false
3 false
4 false.
rabbit 0.16448598130841122
0 true
1 false
2 false
3 false
4 false
raccoon 0.16635514018691588
0 true
1 false
2 false
3 false
4 false
racoon 0.16822429906542055
0 true
1 false
2 false
3 false
4 false
rainbow fish 0.17009345794392525
0 false
1 false.
2 false
3 false
4 false.
ram 0.17196261682242991
0 true
1 false.
2 false
3 false.
4 false.
raptor 0.17383177570093458
0 false
1 true
2 false
3 false.
4 false.
rat 0.17570093457943925
0 true
1 false
2 false
3 false
4 false
rattlesnake 0.17757009345794392
0 false
1 false
2 false
3 true
4 false
raven 0.17943925233644858
0 false
1 true
2 false
3 false
4 false
ray 0.18130841121495328
0 false
1 true.
2 false.
3 false.
4 false.
razor clam 0.18317757009345795
0 false
1 false
2 false
3 false.
4 false.
red panda 0.18504672897196262
0 true
1 false
2 false
3 false
4 false
AFTER 100
